epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,11781.6,1.31034,0.88239,0.90112,0.61896,0.54077,0.51806,0.2908,1.31715,0.94486,0.90392,0.004621,0.004621,0.004621
165,11840.3,1.30765,0.88474,0.90196,0.62037,0.54231,0.5194,0.29197,1.3172,0.94496,0.90388,0.004588,0.004588,0.004588
166,11898.8,1.30519,0.87664,0.90041,0.62177,0.54385,0.52074,0.29314,1.31713,0.94463,0.90387,0.004555,0.004555,0.004555
167,11957.2,1.30188,0.88139,0.90139,0.62318,0.54538,0.52207,0.29431,1.31686,0.9439,0.90382,0.004522,0.004522,0.004522
168,12015.8,1.30333,0.87985,0.90034,0.62458,0.54692,0.52341,0.29548,1.317,0.94451,0.90386,0.004489,0.004489,0.004489
169,12075.2,1.29907,0.87646,0.90196,0.62599,0.54846,0.52475,0.29666,1.31712,0.9446,0.90381,0.004456,0.004456,0.004456
170,12133.9,1.29367,0.87317,0.89882,0.62739,0.55,0.52609,0.29783,1.31739,0.94463,0.90386,0.004423,0.004423,0.004423
171,12193.2,1.29894,0.87426,0.89956,0.6288,0.55154,0.52742,0.299,1.31737,0.94461,0.90384,0.00439,0.00439,0.00439
172,12251.7,1.30165,0.87352,0.90088,0.6302,0.55308,0.52876,0.30017,1.3172,0.94488,0.90373,0.004357,0.004357,0.004357
173,12309.9,1.30737,0.87822,0.89957,0.63161,0.55462,0.5301,0.30134,1.31711,0.94471,0.90372,0.004324,0.004324,0.004324
174,12368.7,1.29401,0.87323,0.89831,0.63301,0.55615,0.53144,0.30251,1.31726,0.94424,0.90377,0.004291,0.004291,0.004291
175,12426.3,1.29889,0.87836,0.901,0.63441,0.55769,0.53278,0.30368,1.31743,0.9442,0.90387,0.004258,0.004258,0.004258
176,12484.8,1.3033,0.87443,0.90109,0.63582,0.55923,0.53411,0.30485,1.3175,0.94469,0.90379,0.004225,0.004225,0.004225
177,12543.2,1.29653,0.87328,0.90081,0.63722,0.56077,0.53545,0.30602,1.31704,0.94443,0.90368,0.004192,0.004192,0.004192
178,12601.2,1.29702,0.87325,0.9008,0.63863,0.56231,0.53679,0.30719,1.31711,0.94435,0.90369,0.004159,0.004159,0.004159
179,12659.6,1.29717,0.86932,0.90014,0.64003,0.56385,0.53813,0.30836,1.31688,0.94447,0.90362,0.004126,0.004126,0.004126
180,12717.4,1.29898,0.8707,0.89965,0.64144,0.56538,0.53946,0.30953,1.3169,0.94441,0.9036,0.004093,0.004093,0.004093
181,12775.7,1.29901,0.86875,0.90045,0.64284,0.56692,0.5408,0.3107,1.31686,0.94432,0.90361,0.00406,0.00406,0.00406
182,12833.8,1.29749,0.87172,0.89945,0.64425,0.56846,0.54214,0.31187,1.31674,0.94406,0.90363,0.004027,0.004027,0.004027
183,12891.9,1.28941,0.86331,0.89869,0.64565,0.57,0.54348,0.31304,1.31659,0.94394,0.90353,0.003994,0.003994,0.003994
184,12950.4,1.2975,0.8683,0.89885,0.64706,0.57154,0.54482,0.31421,1.31692,0.94418,0.90351,0.003961,0.003961,0.003961
185,13007.1,1.29588,0.86886,0.89804,0.64846,0.57308,0.54615,0.31538,1.31694,0.94393,0.90351,0.003928,0.003928,0.003928
186,13065.1,1.29731,0.86838,0.89909,0.64987,0.57462,0.54749,0.31656,1.31654,0.94419,0.90356,0.003895,0.003895,0.003895
187,13122.9,1.29561,0.86813,0.8993,0.65127,0.57615,0.54883,0.31773,1.31686,0.94438,0.90356,0.003862,0.003862,0.003862
188,13181.4,1.29002,0.86098,0.89846,0.65268,0.57769,0.55017,0.3189,1.31657,0.94425,0.90356,0.003829,0.003829,0.003829
